data,label,new_label
"{'id': 'KG0OUA', 'data': 'Good morning', 'message_order': 2, 'comments': ['']}",location,3
"{'id': 'L9DC9H', 'data': 'Location', 'message_order': 5, 'comments': ['']}",whoAreYou,1
"{'id': 'ZQR6R5', 'data': 'hi', 'message_order': 5, 'comments': ['']}",whoAreYou,3
"{'id': 'RH0M4E', 'data': 'Hi', 'message_order': 4, 'comments': ['']}",greeting,3
"{'id': 'WLVX8I', 'data': 'Hello', 'message_order': 1, 'comments': ['']}",greeting,3
"{'id': 'M2IRWL', 'data': 'sir', 'message_order': 3, 'comments': ['']}",whoAreYou,4
"{'id': '5MXRNL', 'data': 'K', 'message_order': 2, 'comments': ['']}",whoAreYou,2
"{'id': '609W8Y', 'data': 'On thanks', 'message_order': 2, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'T3V6IY', 'data': 'Hii', 'message_order': 3, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'GI07N1', 'data': 'Sir I dnt have two wheeler', 'message_order': 2, 'comments': ['']}",whoAreYou,4
"{'id': 'GYJWFS', 'data': 'Hi', 'message_order': 1, 'comments': ['']}",greeting,3
"{'id': '6ZQLO7', 'data': 'Hlo', 'message_order': 3, 'comments': ['']}",greeting,3
"{'id': '1XYSRQ', 'data': '📷 Good mrng', 'message_order': 4, 'comments': ['']}",greeting,3
"{'id': 'C7747X', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",greeting,2
"{'id': 'WU1MHH', 'data': 'Gm', 'message_order': 3, 'comments': ['']}",notInterested,3
"{'id': 'AL0YY2', 'data': 'Yes but no bikes sorry', 'message_order': 5, 'comments': ['']}",notInterested,4
"{'id': 'NKB41P', 'data': 'Where it is', 'message_order': 1, 'comments': ['']}",whoAreYou,1
"{'id': 'HKWKR6', 'data': 'Job placement company', 'message_order': 4, 'comments': ['']}",greeting,1
"{'id': 'OGBMAM', 'data': 'were', 'message_order': 5, 'comments': ['']}",whoAreYou,1
"{'id': 'J7F5AP', 'data': 'Hiii', 'message_order': 5, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'OAMYVS', 'data': 'No', 'message_order': 0, 'comments': ['']}",whoAreYou,5
"{'id': 'R6Z32R', 'data': 'Hii', 'message_order': 0, 'comments': ['']}",greeting,3
"{'id': 'W9VE02', 'data': 'Thank you', 'message_order': 1, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'V952V0', 'data': 'Where is the location?', 'message_order': 1, 'comments': ['']}",notInterested,1
"{'id': '7YXU1E', 'data': 'Nahi', 'message_order': 3, 'comments': ['']}",greeting,4
"{'id': 'Z7UF71', 'data': 'Marathi', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': 'GZLTJC', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",whoAreYou,2
"{'id': '2YAC8M', 'data': 'Iska location kya hoga', 'message_order': 2, 'comments': ['']}",location,1
"{'id': '8I1GCO', 'data': 'Poda ...', 'message_order': 1, 'comments': ['']}",notInterested,3
"{'id': 'MY3Q1J', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",whoAreYou,2
"{'id': 'YBEI5V', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",location,2
"{'id': '0C9Y5K', 'data': 'K', 'message_order': 3, 'comments': ['']}",location,2
"{'id': 'UNWCX4', 'data': 'Ldhu', 'message_order': 3, 'comments': ['']}",greeting,4
"{'id': 'YO8Z66', 'data': 'hi', 'message_order': 2, 'comments': ['']}",greeting,3
"{'id': 'XWSC3M', 'data': 'I am not interested', 'message_order': 1, 'comments': ['']}",greeting,4
